itemname,folder,code,prefecture,gender,2025,2023,2024
【02】衆参両院の選挙区選出議員の男女比,政治,39,高知県,men,4,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,39,高知県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,40,福岡県,men,17,16,16
【02】衆参両院の選挙区選出議員の男女比,政治,40,福岡県,women,0,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,41,佐賀県,men,4,4,4
【02】衆参両院の選挙区選出議員の男女比,政治,41,佐賀県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,42,長崎県,men,4,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,42,長崎県,women,1,1,1
【02】衆参両院の選挙区選出議員の男女比,政治,43,熊本県,men,6,6,6
【02】衆参両院の選挙区選出議員の男女比,政治,43,熊本県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,44,大分県,men,4,5,4
【02】衆参両院の選挙区選出議員の男女比,政治,44,大分県,women,1,0,1
【02】衆参両院の選挙区選出議員の男女比,政治,45,宮崎県,men,5,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,45,宮崎県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,46,鹿児島県,men,6,6,6
【02】衆参両院の選挙区選出議員の男女比,政治,46,鹿児島県,women,0,0,0
【02】衆参両院の選挙区選出議員の男女比,政治,47,沖縄県,men,5,5,5
【02】衆参両院の選挙区選出議員の男女比,政治,47,沖縄県,women,1,1,1
【03】都道府県議会の男女比,政治,1,北海道,men,82,NA,83
【03】都道府県議会の男女比,政治,1,北海道,women,17,NA,17
【03】都道府県議会の男女比,政治,2,青森県,men,41,NA,41
【03】都道府県議会の男女比,政治,2,青森県,women,7,NA,7
【03】都道府県議会の男女比,政治,3,岩手県,men,43,NA,43
【03】都道府県議会の男女比,政治,3,岩手県,women,5,NA,5
【03】都道府県議会の男女比,政治,4,宮城県,men,49,NA,49
【03】都道府県議会の男女比,政治,4,宮城県,women,10,NA,10
【03】都道府県議会の男女比,政治,5,秋田県,men,35,NA,35
【03】都道府県議会の男女比,政治,5,秋田県,women,6,NA,6
【03】都道府県議会の男女比,政治,6,山形県,men,37,NA,37
【03】都道府県議会の男女比,政治,6,山形県,women,6,NA,6
【03】都道府県議会の男女比,政治,7,福島県,men,52,NA,52
【03】都道府県議会の男女比,政治,7,福島県,women,6,NA,6
【03】都道府県議会の男女比,政治,8,茨城県,men,54,NA,54
【03】都道府県議会の男女比,政治,8,茨城県,women,6,NA,6
【03】都道府県議会の男女比,政治,9,栃木県,men,40,NA,41
【03】都道府県議会の男女比,政治,9,栃木県,women,9,NA,9
【03】都道府県議会の男女比,政治,10,群馬県,men,42,NA,43
【03】都道府県議会の男女比,政治,10,群馬県,women,6,NA,7
【03】都道府県議会の男女比,政治,11,埼玉県,men,78,NA,78
【03】都道府県議会の男女比,政治,11,埼玉県,women,14,NA,15
【03】都道府県議会の男女比,政治,12,千葉県,men,79,NA,81
【03】都道府県議会の男女比,政治,12,千葉県,women,14,NA,14
【03】都道府県議会の男女比,政治,13,東京都,men,81,NA,82
【03】都道府県議会の男女比,政治,13,東京都,women,37,NA,37
【03】都道府県議会の男女比,政治,14,神奈川県,men,84,NA,85
【03】都道府県議会の男女比,政治,14,神奈川県,women,19,NA,19
【03】都道府県議会の男女比,政治,15,新潟県,men,48,NA,48
【03】都道府県議会の男女比,政治,15,新潟県,women,5,NA,5
【03】都道府県議会の男女比,政治,16,富山県,men,36,NA,36
【03】都道府県議会の男女比,政治,16,富山県,women,4,NA,4
【03】都道府県議会の男女比,政治,17,石川県,men,37,NA,37
【03】都道府県議会の男女比,政治,17,石川県,women,4,NA,4
【03】都道府県議会の男女比,政治,18,福井県,men,34,NA,35
【03】都道府県議会の男女比,政治,18,福井県,women,2,NA,2
【03】都道府県議会の男女比,政治,19,山梨県,men,34,NA,35
【03】都道府県議会の男女比,政治,19,山梨県,women,2,NA,2
【03】都道府県議会の男女比,政治,20,長野県,men,46,NA,46
【03】都道府県議会の男女比,政治,20,長野県,women,10,NA,11
【03】都道府県議会の男女比,政治,21,岐阜県,men,40,NA,40
【03】都道府県議会の男女比,政治,21,岐阜県,women,6,NA,6
【03】都道府県議会の男女比,政治,22,静岡県,men,58,NA,57
【03】都道府県議会の男女比,政治,22,静岡県,women,10,NA,10
【03】都道府県議会の男女比,政治,23,愛知県,men,92,NA,93
【03】都道府県議会の男女比,政治,23,愛知県,women,8,NA,8
【03】都道府県議会の男女比,政治,24,三重県,men,42,NA,42
【03】都道府県議会の男女比,政治,24,三重県,women,6,NA,6
【03】都道府県議会の男女比,政治,25,滋賀県,men,37,NA,38
【03】都道府県議会の男女比,政治,25,滋賀県,women,6,NA,6
【03】都道府県議会の男女比,政治,26,京都府,men,46,NA,47
【03】都道府県議会の男女比,政治,26,京都府,women,13,NA,13
【03】都道府県議会の男女比,政治,27,大阪府,men,64,NA,66
【03】都道府県議会の男女比,政治,27,大阪府,women,13,NA,13
【03】都道府県議会の男女比,政治,28,兵庫県,men,73,NA,73
【03】都道府県議会の男女比,政治,28,兵庫県,women,13,NA,13
【03】都道府県議会の男女比,政治,29,奈良県,men,38,NA,39
【03】都道府県議会の男女比,政治,29,奈良県,women,4,NA,4
【03】都道府県議会の男女比,政治,30,和歌山県,men,39,NA,39
【03】都道府県議会の男女比,政治,30,和歌山県,women,3,NA,3
【03】都道府県議会の男女比,政治,31,鳥取県,men,29,NA,29
【03】都道府県議会の男女比,政治,31,鳥取県,women,6,NA,5
【03】都道府県議会の男女比,政治,32,島根県,men,31,NA,31
【03】都道府県議会の男女比,政治,32,島根県,women,5,NA,5
【03】都道府県議会の男女比,政治,33,岡山県,men,43,NA,43
【03】都道府県議会の男女比,政治,33,岡山県,women,12,NA,12
【03】都道府県議会の男女比,政治,34,広島県,men,56,NA,56
【03】都道府県議会の男女比,政治,34,広島県,women,8,NA,8
【03】都道府県議会の男女比,政治,35,山口県,men,39,NA,39
【03】都道府県議会の男女比,政治,35,山口県,women,8,NA,8
【03】都道府県議会の男女比,政治,36,徳島県,men,35,NA,35
【03】都道府県議会の男女比,政治,36,徳島県,women,3,NA,3
【03】都道府県議会の男女比,政治,37,香川県,men,31,NA,31
【03】都道府県議会の男女比,政治,37,香川県,women,9,NA,9
【03】都道府県議会の男女比,政治,38,愛媛県,men,43,NA,43
【03】都道府県議会の男女比,政治,38,愛媛県,women,4,NA,4
【03】都道府県議会の男女比,政治,39,高知県,men,31,NA,31
【03】都道府県議会の男女比,政治,39,高知県,women,6,NA,6
【03】都道府県議会の男女比,政治,40,福岡県,men,74,NA,74
【03】都道府県議会の男女比,政治,40,福岡県,women,13,NA,13
【03】都道府県議会の男女比,政治,41,佐賀県,men,34,NA,34
【03】都道府県議会の男女比,政治,41,佐賀県,women,3,NA,3
【03】都道府県議会の男女比,政治,42,長崎県,men,39,NA,39
【03】都道府県議会の男女比,政治,42,長崎県,women,7,NA,7
【03】都道府県議会の男女比,政治,43,熊本県,men,44,NA,44
【03】都道府県議会の男女比,政治,43,熊本県,women,5,NA,5
【03】都道府県議会の男女比,政治,44,大分県,men,41,NA,41
【03】都道府県議会の男女比,政治,44,大分県,women,2,NA,2
【03】都道府県議会の男女比,政治,45,宮崎県,men,34,NA,35
【03】都道府県議会の男女比,政治,45,宮崎県,women,4,NA,4
【03】都道府県議会の男女比,政治,46,鹿児島県,men,40,NA,40
【03】都道府県議会の男女比,政治,46,鹿児島県,women,10,NA,11
【03】都道府県議会の男女比,政治,47,沖縄県,men,40,NA,41
【03】都道府県議会の男女比,政治,47,沖縄県,women,8,NA,7
【04】女性ゼロ議会,政治,1,北海道,men,179,179,179
【04】女性ゼロ議会,政治,1,北海道,women,133,127,134
【04】女性ゼロ議会,政治,2,青森県,men,40,40,40
【04】女性ゼロ議会,政治,2,青森県,women,28,25,27
【04】女性ゼロ議会,政治,3,岩手県,men,33,33,33
【04】女性ゼロ議会,政治,3,岩手県,women,29,28,28
【04】女性ゼロ議会,政治,4,宮城県,men,35,35,35
【04】女性ゼロ議会,政治,4,宮城県,women,33,32,32
【04】女性ゼロ議会,政治,5,秋田県,men,25,25,25
【04】女性ゼロ議会,政治,5,秋田県,women,21,21,21
【04】女性ゼロ議会,政治,6,山形県,men,35,35,35
【04】女性ゼロ議会,政治,6,山形県,women,30,28,28
【04】女性ゼロ議会,政治,7,福島県,men,59,59,59
【04】女性ゼロ議会,政治,7,福島県,women,40,41,40
【04】女性ゼロ議会,政治,8,茨城県,men,44,44,44
【04】女性ゼロ議会,政治,8,茨城県,women,42,42,41
【04】女性ゼロ議会,政治,9,栃木県,men,25,25,25
【04】女性ゼロ議会,政治,9,栃木県,women,25,25,25
【04】女性ゼロ議会,政治,10,群馬県,men,35,35,35
【04】女性ゼロ議会,政治,10,群馬県,women,29,26,28
【04】女性ゼロ議会,政治,11,埼玉県,men,63,63,63
【04】女性ゼロ議会,政治,11,埼玉県,women,62,62,62
【04】女性ゼロ議会,政治,12,千葉県,men,54,54,54
【04】女性ゼロ議会,政治,12,千葉県,women,54,54,54
【04】女性ゼロ議会,政治,13,東京都,men,62,62,62
【04】女性ゼロ議会,政治,13,東京都,women,58,58,58
【04】女性ゼロ議会,政治,14,神奈川県,men,33,33,33
【04】女性ゼロ議会,政治,14,神奈川県,women,33,33,33
【04】女性ゼロ議会,政治,15,新潟県,men,30,30,30
【04】女性ゼロ議会,政治,15,新潟県,women,28,29,27
【04】女性ゼロ議会,政治,16,富山県,men,15,15,15
【04】女性ゼロ議会,政治,16,富山県,women,13,13,13
【04】女性ゼロ議会,政治,17,石川県,men,19,19,19
【04】女性ゼロ議会,政治,17,石川県,women,17,15,17
【04】女性ゼロ議会,政治,18,福井県,men,17,17,17
【04】女性ゼロ議会,政治,18,福井県,women,15,15,15
【04】女性ゼロ議会,政治,19,山梨県,men,27,27,27
【04】女性ゼロ議会,政治,19,山梨県,women,19,19,19
【04】女性ゼロ議会,政治,20,長野県,men,77,77,77
【04】女性ゼロ議会,政治,20,長野県,women,69,70,70
【04】女性ゼロ議会,政治,21,岐阜県,men,42,42,42
【04】女性ゼロ議会,政治,21,岐阜県,women,37,37,37
【04】女性ゼロ議会,政治,22,静岡県,men,35,35,35
【04】女性ゼロ議会,政治,22,静岡県,women,33,31,33
【04】女性ゼロ議会,政治,23,愛知県,men,54,54,54
【04】女性ゼロ議会,政治,23,愛知県,women,53,52,53
【04】女性ゼロ議会,政治,24,三重県,men,29,29,29
【04】女性ゼロ議会,政治,24,三重県,women,28,28,28
【04】女性ゼロ議会,政治,25,滋賀県,men,19,19,19
【04】女性ゼロ議会,政治,25,滋賀県,women,17,17,17
【04】女性ゼロ議会,政治,26,京都府,men,26,26,26
【04】女性ゼロ議会,政治,26,京都府,women,22,23,23
【04】女性ゼロ議会,政治,27,大阪府,men,43,43,43
【04】女性ゼロ議会,政治,27,大阪府,women,43,43,43
【04】女性ゼロ議会,政治,28,兵庫県,men,41,41,41
【04】女性ゼロ議会,政治,28,兵庫県,women,39,40,40
【04】女性ゼロ議会,政治,29,奈良県,men,39,39,39
【04】女性ゼロ議会,政治,29,奈良県,women,29,26,29
【04】女性ゼロ議会,政治,30,和歌山県,men,30,30,30
【04】女性ゼロ議会,政治,30,和歌山県,women,25,23,24
【04】女性ゼロ議会,政治,31,鳥取県,men,19,19,19
【04】女性ゼロ議会,政治,31,鳥取県,women,17,15,17
【04】女性ゼロ議会,政治,32,島根県,men,19,19,19
【04】女性ゼロ議会,政治,32,島根県,women,17,18,17
【04】女性ゼロ議会,政治,33,岡山県,men,27,27,27
【04】女性ゼロ議会,政治,33,岡山県,women,26,25,26
【04】女性ゼロ議会,政治,34,広島県,men,23,23,23
【04】女性ゼロ議会,政治,34,広島県,women,23,23,23
【04】女性ゼロ議会,政治,35,山口県,men,19,19,19
【04】女性ゼロ議会,政治,35,山口県,women,18,18,18
【04】女性ゼロ議会,政治,36,徳島県,men,24,24,24
【04】女性ゼロ議会,政治,36,徳島県,women,21,19,20
【04】女性ゼロ議会,政治,37,香川県,men,17,17,17
【04】女性ゼロ議会,政治,37,香川県,women,17,17,17
【04】女性ゼロ議会,政治,38,愛媛県,men,20,20,20
【04】女性ゼロ議会,政治,38,愛媛県,women,18,19,18
【04】女性ゼロ議会,政治,39,高知県,men,34,34,34
【04】女性ゼロ議会,政治,39,高知県,women,26,24,25
【04】女性ゼロ議会,政治,40,福岡県,men,60,60,60
【04】女性ゼロ議会,政治,40,福岡県,women,55,56,56
【04】女性ゼロ議会,政治,41,佐賀県,men,20,20,20
【04】女性ゼロ議会,政治,41,佐賀県,women,17,17,17
【04】女性ゼロ議会,政治,42,長崎県,men,21,21,21
【04】女性ゼロ議会,政治,42,長崎県,women,17,17,17
【04】女性ゼロ議会,政治,43,熊本県,men,45,45,45
【04】女性ゼロ議会,政治,43,熊本県,women,37,36,37
【04】女性ゼロ議会,政治,44,大分県,men,18,18,18
【04】女性ゼロ議会,政治,44,大分県,women,17,15,17
【04】女性ゼロ議会,政治,45,宮崎県,men,26,26,26
【04】女性ゼロ議会,政治,45,宮崎県,women,20,18,20
【04】女性ゼロ議会,政治,46,鹿児島県,men,43,43,43
【04】女性ゼロ議会,政治,46,鹿児島県,women,33,30,33
【04】女性ゼロ議会,政治,47,沖縄県,men,41,41,41
【04】女性ゼロ議会,政治,47,沖縄県,women,34,34,34
【05】市区町村議会の男女比,政治,1,北海道,men,1855,1942,1922
【05】市区町村議会の男女比,政治,1,北海道,women,355,310,309
【05】市区町村議会の男女比,政治,2,青森県,men,504,523,509
【05】市区町村議会の男女比,政治,2,青森県,women,60,51,55
【05】市区町村議会の男女比,政治,3,岩手県,men,476,485,483
【05】市区町村議会の男女比,政治,3,岩手県,women,80,72,79
【05】市区町村議会の男女比,政治,4,宮城県,men,515,542,533
【05】市区町村議会の男女比,政治,4,宮城県,women,97,86,88
【05】市区町村議会の男女比,政治,5,秋田県,men,370,382,376
【05】市区町村議会の男女比,政治,5,秋田県,women,45,43,43
【05】市区町村議会の男女比,政治,6,山形県,men,436,446,436
【05】市区町村議会の男女比,政治,6,山形県,women,66,56,56
【05】市区町村議会の男女比,政治,7,福島県,men,756,776,768
【05】市区町村議会の男女比,政治,7,福島県,women,89,77,80
【05】市区町村議会の男女比,政治,8,茨城県,men,680,699,672
【05】市区町村議会の男女比,政治,8,茨城県,women,120,113,114
【05】市区町村議会の男女比,政治,9,栃木県,men,398,408,408
【05】市区町村議会の男女比,政治,9,栃木県,women,75,70,69
【05】市区町村議会の男女比,政治,10,群馬県,men,466,495,478
【05】市区町村議会の男女比,政治,10,群馬県,women,80,63,69
【05】市区町村議会の男女比,政治,11,埼玉県,men,929,963,950
【05】市区町村議会の男女比,政治,11,埼玉県,women,314,287,288
【05】市区町村議会の男女比,政治,12,千葉県,men,896,924,911
【05】市区町村議会の男女比,政治,12,千葉県,women,236,212,220
【05】市区町村議会の男女比,政治,13,東京都,men,1106,1147,1132
